Date,Mine Days Work_days,Mine Tons per Day_tpd,Feed Tonnage_tons,Feed Grade_Au gpt,MCF_%,Mill Days Work_days,Mill Tons per Day_tpd,Milled Tonnage_tons,Milled Grade_Au gpt,Gold Recovered_Au oz,Gold Recovery_%,Gold Tails_Solid_Au gpt,Gold Tails_Solution_Au gpt,Gold Tails_Total_Au gpt
2016-05-24,1,,1335,5.22,0.764858527,1,,1134.78747,3.992561509,117.0214833,0.803357242,0.728739872,0.04161445,0.785108307
2016-05-25,1,,1115,5.6,0.691599418,1,,1400.863848,3.87295674,136.8561985,0.784576256,0.776640549,0.041772834,0.834326843
2016-05-26,1,,1030,5.09,0.84709648,1,,1442.66979,4.311721086,162.6970061,0.813525604,0.729866467,0.054382374,0.804025587
2016-05-27,1,,1405,6.28,0.661183141,1,,1481.132769,4.152230126,159.6072808,0.80721004,0.717218306,0.061264163,0.800508282
2016-05-28,1,,1055,6.58,0.798702404,1,,1461.950897,5.255461817,208.1377855,0.842590426,0.745803236,0.058985936,0.827260004
2016-05-29,1,,1096,6.78,0.78738286,1,,1300.878784,5.338455788,188.7204543,0.845231656,0.730604363,0.069241779,0.826223962
2016-05-30,1,,1150,8.55,0.59896571,1,,1276.274453,5.121156824,174.2858714,0.829390951,0.805184688,0.048288856,0.873715698
2016-05-31,1,,1580,7.08,0.647502195,1,,1518.439562,4.584315541,181.5363437,0.811149366,0.79753806,0.04865528,0.865750898
2016-06-01,1,,530,5.33,0.781362087,1,,875.7275257,4.164659922,92.43002377,0.788267793,0.799097027,0.059883028,0.881792637
2016-06-02,1,,930,2.25,1.51994539,1,,1565.405378,3.419877126,130.0333772,0.755486625,0.751203117,0.062365701,0.8362057
2016-06-03,1,,885,2.2,1.551817428,1,,1392.052243,3.413998342,117.5058003,0.769041411,0.701565604,0.0646,0.78849224
2016-06-04,1,,1245,6.08,0.62991958,1,,1305.188379,3.829911049,130.6542209,0.812963076,0.654956206,0.045984971,0.716334781
2016-06-05,1,,1070,7.19,0.659794272,1,,1350.782749,4.743920814,176.4035549,0.856236344,0.609341199,0.054492975,0.682003399
2016-06-06,1,,1530,6.94,0.769158789,1,,1419.712442,5.337961999,209.2138157,0.85866499,0.635446631,0.089767615,0.754440911
2016-06-07,1,,1055,6.1,0.716217188,1,,1344.746285,4.368924845,155.5232807,0.823359961,0.690837231,0.058497301,0.771727057
2016-06-08,1,,664,6.32,0.745870427,1,,1137.253844,4.7139011,140.4858554,0.815087029,0.777776741,0.068642394,0.871661456
2016-06-09,1,,1325,6.3,0.635852355,1,,1579.701856,4.005869839,159.8015017,0.785449298,0.782639289,0.054731113,0.859462187
2016-06-10,1,,1110,6.7,0.786803638,1,,1467.783165,5.271584378,206.7748572,0.831196923,0.808283223,0.061540121,0.889859663
2016-06-11,1,,770,5.96,0.750056004,1,,1401.68881,4.470333786,162.3244407,0.805752421,0.768426307,0.072359635,0.868351517
2016-06-12,1,,995,6.5,0.756336124,1,,1170.053704,4.916184805,154.5261646,0.835559327,0.711082665,0.068160335,0.808420737
2016-06-13,1,,735,6.61,0.795826631,1,,1313.831991,5.260414029,186.0709449,0.837390568,0.723711028,0.096358507,0.855392936
2016-06-14,1,,1508,7,0.613153812,1,,1507.810089,4.292076682,169.8861083,0.816494028,0.686635855,0.073127685,0.787621705
2016-06-15,1,,820,7.48,0.596652862,1,,958.453655,4.462963405,108.5175495,0.789068663,0.817286774,0.0919,0.941378836
2016-06-16,1,,1175,7.3,0.694977846,1,,852.298943,5.073338276,113.2098507,0.81434364,0.854917521,0.061692657,0.941897517
2016-06-17,1,,770,7.17,0.792724427,1,,979.256218,5.683834143,151.1935219,0.844898834,0.823275594,0.042212684,0.881569301
2016-06-18,1,,1010,6.79,0.720012434,1,,1293.098285,4.888884424,169.5350451,0.834117901,0.717041031,0.069094845,0.810978408
2016-06-19,1,,920,7.02,0.655279119,1,,1327.230523,4.600059416,163.3697458,0.832283133,0.705098141,0.048667473,0.771507554
2016-06-20,1,,1045,7,0.689082387,1,,1404.962109,4.823576712,178.9553447,0.821334629,0.760592627,0.072204638,0.861806122
2016-06-21,1,,1150,7.28,0.70988148,1,,1386.179547,5.167937174,191.9454101,0.833393831,0.720118304,0.101844089,0.861010214
2016-06-22,1,,975,6.97,0.595433331,1,,1502.218817,4.150170317,160.5896815,0.801175723,0.696664332,0.0916098,0.825154613
2016-06-23,1,,1425,7.38,0.917698199,1,,1526.935274,6.772612708,281.7280753,0.84734939,0.936227953,0.06978213,1.033843463
2016-06-24,1,,1545,6.58,0.847906991,1,,1614.516094,5.579228001,237.3679549,0.819624368,0.891607005,0.080725855,1.006356779
2016-06-25,1,,1110,6.69,0.878313901,1,,1503.275066,5.875919998,215.8386665,0.760018533,1.122647899,0.208163586,1.410111899
2016-06-26,1,,730,6.28,0.945648688,1,,1303.520355,5.938673758,193.1027178,0.775872507,1.098263742,0.16854768,1.331020062
2016-06-27,1,,1143.5,7.17,0.723613409,1,,1533.216306,5.18830814,175.6542589,0.686813392,1.394749274,0.162050945,1.624908626
2016-06-28,1,,1445,7,0.78361685,1,,1408.298563,5.485317949,177.6794779,0.715401735,1.176162704,0.271010283,1.561111969
2016-06-29,1,,1365,6.81,0.730146157,1,,1511.864134,4.972295332,179.4349228,0.742414686,1.054260671,0.164038665,1.280790257
2016-06-30,1,,1025,7.29,0.667179586,1,,1525.019247,4.863739179,184.1857864,0.772359997,0.922662317,0.135585165,1.107181602
2016-07-01,1,,1075,6.41,0.6923646,1,,1504.35502,4.438057084,167.0929889,0.778438426,0.885527946,0.068974786,0.983302913
2016-07-02,1,,935,5.95,0.71329482,1,,1414.882086,4.244104181,150.9444066,0.78184381,0.778802087,0.103729389,0.925877597
2016-07-03,1,,705,5.85,0.724718969,1,,943.6066453,4.239605971,101.3284868,0.787815159,0.772834152,0.084497313,0.89958012
2016-07-04,1,,915,5.9,0.631254406,1,,1394.510347,3.724400995,124.1242151,0.743340169,0.833654129,0.0815,0.955904129
